First_Name,Last_Name,Age,School_Name,School_Address,School_ZipCode,Parents_Salary,Parents_Occupation,Weight,Size,Feet_size,Eye_color,Hair_color,Previous_year_grades,Current_year_grades
Kimberly,Smith,24,School M,Street M 202,56779,7316.521,Teacher,77.2,170.7,34,Blue,Blonde,4.8,3.0
Donald,Johnson,26,School A,Street A 123,12345,44440.983,Doctor,52.7,120.5,35,Blue,Black,2.8,2.2
Erica,Doyle,8,School L,Street L 101,45789,1518.691,Unemployed,66.4,156.1,39,Blue,Black,4.6,8.2
Katelyn,Reed,16,School H,Street H 789,67890,43013.467,Doctor,59.8,198.4,38,Blue,Black,3.5,9.7
Adriana,Hicks,11,School H,Street H 789,67890,27973.52,Lawyer,78.1,143.0,41,Green,Blonde,7.1,9.5
Teresa,Dunn,6,School I,Street I 101,23654,8445.055,Nurse,69.1,150.2,35,Blue,Black,5.8,9.1
Oscar,Mccarthy,7,School G,Street G 456,12654,744.185,Unemployed,46.9,194.8,41,Brown,Blonde,7.2,5.6
Steven,Jordan,25,School L,Street L 101,45789,8848.356,Teacher,68.0,151.0,36,Green,Blonde,5.7,2.8
Angel,Schneider,21,School H,Street H 789,67890,5735.963,Nurse,75.1,117.0,36,Brown,Black,5.8,3.0
Andrew,Martinez,1,School D,Street D 101,45678,5694.198,Engineer,43.7,104.3,42,Brown,Blonde,6.1,7.8
Vincent,Zamora,25,School K,Street K 789,34667,28618.359,Lawyer,30.1,145.2,38,Brown,Black,2.4,6.6
Richard,Valdez,20,School M,Street M 202,56779,722.011,Unemployed,47.8,173.6,39,Green,Brown,4.6,6.8
Anna,Sanders,25,School M,Street M 202,56779,18039.018,Lawyer,68.6,188.9,40,Blue,Red,5.3,3.8
Joyce,Johnston,18,School K,Street K 789,34667,5393.696,Engineer,26.5,130.0,37,Brown,Red,5.7,9.6
Christopher,Solomon,21,School J,Street J 202,56789,26111.781,Doctor,78.7,190.3,37,Green,Brown,3.3,6.7
James,Roberts,7,School L,Street L 101,45789,10759.588,Nurse,76.3,103.0,40,Blue,Red,7.4,9.2
Diane,Collins,22,School B,Street B 456,23456,7536.217,Teacher,77.2,111.6,36,Green,Black,8.2,6.4
Rhonda,Velazquez,11,School B,Street B 456,23456,35337.678,Doctor,78.5,182.4,34,Brown,Brown,6.1,9.3
Tiffany,Simmons,19,School M,Street M 202,56779,17067.308,Doctor,26.4,143.6,37,Blue,Black,6.9,9.4
Melanie,Kim,5,School I,Street I 101,23654,11222.612,Teacher,45.8,120.5,34,Blue,Red,3.1,8.9
Nathan,Wheeler,19,School J,Street J 202,56789,5713.099,Nurse,42.3,100.3,39,Blue,Blonde,4.6,3.8
Joshua,Walls,15,School L,Street L 101,45789,7722.988,Nurse,38.7,100.9,38,Brown,Red,8.9,6.5
Sharon,Rogers,25,School D,Street D 101,45678,1037.704,Unemployed,23.2,180.1,41,Brown,Brown,8.5,4.2
Joy,Watson,24,School K,Street K 789,34667,13543.835,Nurse,65.9,100.4,39,Blue,Black,2.2,9.7
Jonathan,Thompson,23,School K,Street K 789,34667,44055.771,Doctor,56.6,188.7,41,Green,Red,2.4,5.9
Anna,Nixon,4,School J,Street J 202,56789,22694.722,Doctor,68.8,107.6,37,Brown,Red,2.3,7.7
Keith,Spears,19,School J,Street J 202,56789,683.356,Unemployed,30.1,153.6,41,Blue,Black,2.8,7.9
Robin,Johnson,18,School D,Street D 101,45678,9083.685,Teacher,54.8,198.7,39,Brown,Blonde,3.4,6.0
Joshua,Berg,12,School I,Street I 101,23654,28836.268,Lawyer,73.5,186.4,38,Green,Black,7.7,5.5
Robin,Johnson,15,School K,Street K 789,34667,28449.256,Lawyer,60.6,145.7,41,Green,Brown,5.5,9.8
Marcus,Serrano,19,School C,Street C 789,34567,931.1,Unemployed,79.4,137.1,34,Green,Red,7.1,3.0
Douglas,Pierce,20,School B,Street B 456,23456,20010.462,Lawyer,59.4,130.7,35,Brown,Brown,5.5,6.0
Charles,Johnson,5,School K,Street K 789,34667,7203.493,Engineer,21.0,131.0,42,Brown,Brown,9.8,9.5
Kevin,Stone,17,School L,Street L 101,45789,22774.839,Lawyer,66.5,163.8,35,Green,Brown,9.8,7.9
Dana,Wilkerson,16,School E,Street E 202,56789,756.384,Unemployed,70.5,122.2,36,Green,Black,6.5,4.5
Michael,Lewis,23,School D,Street D 101,45678,11902.503,Nurse,31.1,141.8,37,Green,Blonde,9.0,9.4
Norman,Caldwell,18,School K,Street K 789,34667,10318.261,Lawyer,20.6,106.8,35,Blue,Black,8.0,7.0
Elizabeth,Allen,6,School C,Street C 789,34567,33285.527,Doctor,70.7,124.0,40,Blue,Black,3.7,9.3
Rebecca,Johnston,13,School F,Street F 123,12456,4047.662,Nurse,36.4,158.5,35,Brown,Black,6.5,5.6
Craig,Sanders,20,School C,Street C 789,34567,9835.137,Teacher,38.5,186.9,35,Green,Blonde,4.8,5.7
Jared,Williams,17,School G,Street G 456,12654,3726.194,Teacher,69.5,104.3,41,Brown,Blonde,2.9,2.3
Frederick,Jordan,26,School F,Street F 123,12456,14917.07,Engineer,74.2,106.0,41,Brown,Blonde,6.5,4.7
Anna,Chang,5,School M,Street M 202,56779,11929.053,Engineer,54.2,182.5,40,Brown,Brown,3.2,4.5
Teresa,Acosta,0,School B,Street B 456,23456,12332.252,Nurse,56.6,193.8,36,Brown,Brown,4.8,4.5
Patrick,Lamb,26,School J,Street J 202,56789,13689.307,Lawyer,49.7,189.4,39,Green,Brown,8.9,4.6
Hannah,Morris,1,School G,Street G 456,12654,9572.817,Nurse,77.6,144.8,36,Green,Black,6.4,9.1
Nicole,Johnson,15,School E,Street E 202,56789,5588.942,Nurse,69.0,196.5,36,Blue,Black,4.0,9.6
Nancy,Avery,17,School G,Street G 456,12654,11683.23,Nurse,24.7,123.2,34,Brown,Blonde,8.1,3.5
Donna,Taylor,23,School E,Street E 202,56789,1498.101,Unemployed,52.2,144.5,37,Blue,Black,6.1,4.9
Jay,Rogers,25,School M,Street M 202,56779,44442.475,Doctor,22.3,145.7,37,Brown,Black,2.5,2.8
Ashley,Hicks,14,School J,Street J 202,56789,6279.67,Engineer,50.3,151.6,34,Green,Brown,6.6,5.4
Amber,Frost,25,School K,Street K 789,34667,39527.925,Doctor,62.1,176.9,38,Brown,Blonde,8.2,8.4
Michael,Martinez,24,School C,Street C 789,34567,9311.276,Teacher,54.1,198.4,35,Green,Brown,5.7,7.0
William,Davis,7,School I,Street I 101,23654,5034.926,Engineer,24.4,129.6,34,Brown,Brown,9.8,2.7
Christopher,Stafford,18,School A,Street A 123,12345,1549.72,Unemployed,28.0,106.6,38,Brown,Black,9.6,9.9
Edward,Nelson,24,School I,Street I 101,23654,304.058,Unemployed,28.0,117.9,40,Green,Brown,4.3,4.1
Rhonda,Garrison,25,School A,Street A 123,12345,22847.017,Lawyer,51.8,140.4,40,Brown,Brown,3.2,3.6
Paul,Bennett,3,School D,Street D 101,45678,7076.344,Nurse,27.1,189.2,37,Blue,Black,6.1,2.2
Marie,Krause,2,School L,Street L 101,45789,1001.168,Unemployed,48.3,183.7,35,Brown,Red,5.8,5.6
Anna,Lewis,1,School F,Street F 123,12456,957.269,Unemployed,21.8,112.2,35,Brown,Blonde,5.2,7.8
Donald,Miller,10,School E,Street E 202,56789,12447.766,Nurse,71.3,138.0,41,Green,Black,2.2,4.9
Drew,Jones,22,School A,Street A 123,12345,6986.97,Teacher,51.3,107.7,38,Brown,Brown,2.5,6.6
Jennifer,Mann,2,School I,Street I 101,23654,10569.972,Teacher,20.6,110.4,40,Green,Red,7.2,6.2
Timothy,George,4,School B,Street B 456,23456,5765.997,Teacher,43.9,103.4,41,Blue,Black,2.4,7.7
Cody,Martin,15,School G,Street G 456,12654,5007.452,Nurse,45.9,137.4,42,Green,Blonde,9.9,9.3
Kristin,Patterson,13,School C,Street C 789,34567,13472.072,Nurse,65.8,115.2,34,Green,Blonde,5.6,4.8
Gary,Hampton,16,School I,Street I 101,23654,5389.19,Nurse,47.5,122.3,40,Blue,Red,2.0,8.4
Jeremy,Tyler,8,School B,Street B 456,23456,29570.36,Doctor,45.9,171.8,39,Blue,Red,9.0,7.8
Andrea,Wagner,12,School D,Street D 101,45678,9991.822,Teacher,32.0,146.6,38,Green,Red,3.6,9.5
John,Lopez,5,School G,Street G 456,12654,19467.941,Engineer,29.8,195.1,35,Green,Blonde,7.5,3.9
Elizabeth,Graham,2,School E,Street E 202,56789,44519.182,Doctor,35.5,115.2,37,Blue,Brown,6.5,4.4
Andrew,Hall,1,School B,Street B 456,23456,10302.828,Teacher,32.6,182.2,38,Blue,Black,5.9,7.7
Brandy,Travis,24,School G,Street G 456,12654,11356.027,Nurse,62.5,129.3,41,Brown,Brown,5.1,8.6
Joseph,Jackson,22,School A,Street A 123,12345,46384.15,Doctor,76.0,153.3,40,Brown,Black,4.6,7.0
Gabrielle,Bailey,18,School L,Street L 101,45789,1116.631,Unemployed,73.3,122.5,39,Blue,Red,4.1,2.4
Adam,Sexton,19,School A,Street A 123,12345,933.224,Unemployed,35.3,191.1,42,Brown,Red,6.8,4.8
Christina,Green,8,School A,Street A 123,12345,669.085,Unemployed,56.7,136.2,37,Brown,Black,4.0,5.8
Felicia,Maynard,2,School E,Street E 202,56789,7796.159,Engineer,48.3,166.3,42,Brown,Black,3.9,9.2
Kayla,Fowler,22,School G,Street G 456,12654,10100.298,Nurse,67.9,151.6,37,Green,Red,4.8,6.7
Mark,Scott,26,School M,Street M 202,56779,32099.39,Doctor,64.4,124.7,40,Green,Blonde,7.9,2.3
Anthony,Cooley,15,School J,Street J 202,56789,493.244,Unemployed,27.8,171.1,38,Blue,Blonde,4.9,6.5
Brandon,Rodriguez,3,School C,Street C 789,34567,9154.682,Nurse,30.4,124.1,34,Brown,Black,3.8,4.9
Justin,Hardy,9,School D,Street D 101,45678,11568.208,Engineer,38.2,153.5,38,Brown,Blonde,9.3,6.2
Sonya,Hayes,0,School E,Street E 202,56789,965.839,Unemployed,42.5,161.9,37,Brown,Black,6.7,7.0
Isaac,Washington,7,School G,Street G 456,12654,7964.311,Nurse,70.0,122.5,37,Brown,Brown,9.1,3.7
Edwin,Stanton,24,School H,Street H 789,67890,29894.342,Lawyer,20.6,105.0,34,Brown,Black,3.0,5.1
Julie,Taylor,14,School I,Street I 101,23654,13405.95,Nurse,42.7,167.5,37,Green,Brown,3.1,4.7
Brittany,Ingram,6,School G,Street G 456,12654,314.933,Unemployed,33.3,167.7,40,Blue,Brown,2.4,6.6
Michael,Hall,8,School G,Street G 456,12654,11908.716,Teacher,34.6,127.1,35,Green,Black,2.7,5.1
Joseph,Marshall,13,School G,Street G 456,12654,33862.753,Doctor,62.4,151.8,34,Blue,Brown,4.4,6.9
Christopher,Graves,11,School H,Street H 789,67890,22609.979,Doctor,33.0,191.5,35,Green,Brown,7.2,7.8
Joseph,Lewis,25,School I,Street I 101,23654,9109.837,Nurse,47.0,187.9,42,Blue,Red,5.1,9.0
Melissa,Williams,8,School L,Street L 101,45789,8679.352,Nurse,29.5,111.7,38,Brown,Brown,2.3,2.8
Joe,Wood,7,School G,Street G 456,12654,10765.728,Lawyer,54.2,138.2,42,Brown,Black,5.3,6.8
Ashley,Lee,10,School L,Street L 101,45789,1161.419,Unemployed,25.7,186.9,39,Brown,Brown,4.4,6.5
Ellen,Raymond,15,School E,Street E 202,56789,12238.865,Nurse,24.9,172.4,38,Blue,Blonde,8.4,5.4
Andrew,Lawson,4,School J,Street J 202,56789,10690.545,Nurse,24.6,146.0,42,Brown,Black,3.5,2.2
Michelle,Lam,4,School A,Street A 123,12345,23374.052,Doctor,34.2,153.1,35,Brown,Blonde,2.2,3.9
Bryan,Smith,21,School D,Street D 101,45678,17779.141,Doctor,57.8,165.5,37,Brown,Blonde,5.2,9.2
Kelsey,Pratt,15,School E,Street E 202,56789,37175.439,Doctor,45.6,125.2,34,Blue,Black,9.8,5.7
Douglas,Johnson,7,School D,Street D 101,45678,27887.043,Lawyer,54.9,137.7,38,Green,Black,8.8,6.4
Maria,Reid,9,School I,Street I 101,23654,12662.173,Nurse,43.3,158.2,35,Blue,Black,9.6,7.8
William,Evans,10,School E,Street E 202,56789,8620.587,Engineer,48.5,169.0,36,Green,Red,2.9,6.6
April,White,24,School C,Street C 789,34567,14355.493,Lawyer,24.3,162.6,34,Green,Blonde,3.2,5.4
Douglas,Wilson,8,School B,Street B 456,23456,13458.695,Lawyer,62.8,146.0,34,Brown,Brown,4.0,8.4
Crystal,Martinez,1,School M,Street M 202,56779,24975.597,Lawyer,66.9,154.4,41,Blue,Blonde,7.9,2.4
Heather,Miranda,19,School F,Street F 123,12456,11424.086,Nurse,47.5,143.9,38,Blue,Brown,3.5,7.7
Christopher,Browning,0,School F,Street F 123,12456,18453.358,Engineer,47.4,159.2,37,Blue,Blonde,4.7,5.7
Sharon,Quinn,23,School G,Street G 456,12654,19055.181,Engineer,42.6,137.2,37,Green,Black,8.1,5.2
Brittany,Tran,1,School H,Street H 789,67890,10432.326,Lawyer,35.6,110.1,34,Green,Red,7.3,3.9
Chelsea,Cortez,15,School F,Street F 123,12456,11864.771,Teacher,48.9,184.4,38,Blue,Brown,3.9,4.9
Lisa,Bright,6,School E,Street E 202,56789,5398.269,Engineer,39.1,174.6,38,Brown,Brown,6.3,3.3
Natasha,Strickland,18,School M,Street M 202,56779,27397.473,Lawyer,73.7,153.2,39,Brown,Blonde,2.1,4.5
Danielle,Stone,13,School H,Street H 789,67890,9346.321,Engineer,62.4,151.6,40,Green,Black,2.0,9.8
Vincent,Anderson,24,School A,Street A 123,12345,43804.839,Doctor,50.5,168.2,35,Brown,Blonde,2.5,5.0
Jamie,Lopez,3,School J,Street J 202,56789,6777.769,Nurse,20.8,155.3,34,Blue,Red,4.8,2.0
Gabriel,Harris,15,School F,Street F 123,12456,41040.965,Doctor,37.5,128.1,37,Blue,Blonde,9.1,9.4
Stephen,Baird,2,School B,Street B 456,23456,6305.645,Nurse,33.6,169.8,40,Brown,Red,9.1,2.7
Walter,Walton,17,School K,Street K 789,34667,34808.361,Lawyer,20.2,180.7,38,Green,Black,4.3,7.7
Michael,Jacobson,4,School E,Street E 202,56789,12800.393,Engineer,77.5,149.4,34,Brown,Black,3.8,4.4
Erica,Dillon,3,School J,Street J 202,56789,1544.325,Unemployed,72.2,135.2,34,Blue,Black,6.8,5.9
Martin,Stewart,1,School M,Street M 202,56779,7475.001,Engineer,61.4,119.5,37,Green,Brown,8.9,2.1
Larry,Williams,1,School M,Street M 202,56779,27598.803,Lawyer,72.1,183.0,38,Brown,Red,3.1,3.9
Stacy,Moore,17,School G,Street G 456,12654,29632.609,Doctor,63.1,182.4,34,Brown,Red,4.3,5.3
Mary,Johnson,15,School A,Street A 123,12345,32822.829,Doctor,45.4,198.7,38,Green,Brown,6.0,6.9
John,Dean,13,School L,Street L 101,45789,5276.823,Teacher,44.9,110.1,39,Green,Red,5.0,5.2
Steven,Young,0,School L,Street L 101,45789,14619.881,Lawyer,55.5,142.5,37,Brown,Brown,3.1,9.2
Nicole,Johnson,2,School C,Street C 789,34567,9021.128,Teacher,65.3,194.9,39,Brown,Brown,8.2,8.8
Curtis,Holmes,19,School J,Street J 202,56789,25535.057,Lawyer,38.3,165.0,37,Blue,Black,6.3,9.0
Robert,Scott,17,School B,Street B 456,23456,1528.021,Unemployed,74.1,168.9,39,Blue,Red,7.6,9.1
Stacy,Cummings,0,School A,Street A 123,12345,11836.081,Teacher,30.3,106.3,38,Brown,Brown,9.1,8.4
Gloria,Moss,23,School G,Street G 456,12654,19380.63,Lawyer,21.9,149.4,41,Blue,Blonde,2.9,3.6
Barbara,Hall,17,School G,Street G 456,12654,16650.425,Doctor,69.9,132.3,37,Brown,Red,5.5,7.4
Tanya,Parker,15,School F,Street F 123,12456,13578.192,Nurse,24.4,151.7,40,Blue,Red,2.3,6.4
Mary,Fox,23,School B,Street B 456,23456,6426.384,Nurse,21.7,105.1,35,Blue,Blonde,9.0,5.5
Carl,Wilson,13,School K,Street K 789,34667,9116.008,Teacher,40.9,136.5,35,Brown,Black,5.5,9.3
Kevin,Marshall,18,School C,Street C 789,34567,509.391,Unemployed,33.9,199.1,39,Brown,Red,8.5,6.2
Michele,Mendez,22,School F,Street F 123,12456,34205.911,Doctor,57.1,155.6,36,Blue,Black,9.4,8.8
Daniel,Kelly,2,School B,Street B 456,23456,4857.364,Teacher,71.5,133.5,37,Brown,Black,3.8,7.5
Laura,Wilson,14,School A,Street A 123,12345,385.559,Unemployed,58.7,101.9,41,Brown,Blonde,4.1,5.4
John,Gutierrez,4,School M,Street M 202,56779,17433.955,Engineer,25.8,109.7,40,Brown,Red,2.8,3.9
Mark,Hendrix,9,School C,Street C 789,34567,47494.14,Doctor,28.4,130.6,35,Blue,Red,2.5,5.2
Vanessa,Stephens,15,School F,Street F 123,12456,596.096,Unemployed,77.6,129.3,42,Green,Red,2.1,9.7
Karen,Jenkins,0,School K,Street K 789,34667,26037.614,Doctor,35.9,134.7,36,Green,Blonde,9.3,3.8
Dillon,Velazquez,17,School F,Street F 123,12456,18984.836,Lawyer,38.1,152.8,37,Green,Brown,9.0,9.3
Mary,White,1,School A,Street A 123,12345,12579.245,Engineer,44.2,179.3,35,Blue,Brown,5.1,3.1
Alison,Hampton,14,School G,Street G 456,12654,6784.562,Engineer,27.7,141.9,35,Blue,Blonde,8.1,3.2
Patricia,Chen,10,School E,Street E 202,56789,7602.438,Nurse,51.3,176.8,37,Brown,Red,9.9,2.1
Kelly,Lowe,17,School D,Street D 101,45678,10212.477,Teacher,53.7,153.2,42,Brown,Blonde,2.8,6.9
Jennifer,Johnson,3,School F,Street F 123,12456,11544.386,Nurse,22.3,191.6,38,Blue,Red,8.1,8.3
Deborah,Mathews,0,School A,Street A 123,12345,27493.034,Doctor,33.0,198.3,39,Brown,Red,2.3,3.7
Ashley,Schmidt,20,School D,Street D 101,45678,30141.193,Lawyer,32.8,135.0,38,Green,Red,5.8,8.6
Christopher,Flores,6,School K,Street K 789,34667,11390.135,Nurse,75.4,131.2,37,Green,Brown,6.6,8.1
William,Colon,14,School C,Street C 789,34567,22789.444,Lawyer,37.3,120.0,41,Blue,Red,3.1,9.1
Thomas,Hayes,23,School D,Street D 101,45678,308.958,Unemployed,50.5,135.9,37,Blue,Black,7.8,4.7
Laura,Wright,22,School I,Street I 101,23654,3171.906,Teacher,21.4,166.2,37,Blue,Blonde,7.7,5.1
Cory,Taylor,7,School I,Street I 101,23654,603.367,Unemployed,67.4,155.1,37,Brown,Red,4.3,3.9
Danny,Rogers,25,School J,Street J 202,56789,13800.33,Lawyer,47.9,194.7,34,Blue,Blonde,6.2,7.0
Phillip,Huerta,8,School D,Street D 101,45678,21186.964,Lawyer,46.1,150.0,39,Blue,Red,6.3,9.7
Christina,Flynn,26,School B,Street B 456,23456,5472.64,Nurse,42.2,163.4,38,Green,Brown,9.0,7.0
Danny,Brown,9,School G,Street G 456,12654,15046.748,Lawyer,22.3,111.3,35,Brown,Brown,5.3,3.2
Melissa,Harris,2,School K,Street K 789,34667,36231.474,Doctor,64.8,151.5,38,Blue,Red,6.1,2.4
Gregory,Chung,9,School J,Street J 202,56789,1230.269,Unemployed,56.5,194.8,37,Blue,Black,7.7,9.0
Karen,Rivera,3,School I,Street I 101,23654,33336.62,Lawyer,35.7,168.5,35,Brown,Red,4.9,9.4
Kevin,Murphy,11,School G,Street G 456,12654,11848.309,Nurse,50.8,183.7,40,Blue,Brown,5.9,7.4
Steven,Miller,14,School L,Street L 101,45789,16432.921,Engineer,71.5,111.0,36,Green,Red,7.8,7.3
Anthony,Schwartz,24,School I,Street I 101,23654,332.505,Unemployed,50.6,118.7,40,Blue,Brown,8.7,5.4
Ryan,Patrick,1,School B,Street B 456,23456,46159.654,Doctor,38.2,104.0,41,Green,Red,6.4,9.1
Erik,Guzman,19,School L,Street L 101,45789,11811.076,Teacher,21.9,107.5,40,Green,Red,3.8,5.4
Anthony,Estes,25,School H,Street H 789,67890,13240.799,Nurse,41.6,183.9,40,Green,Red,3.8,3.9
Emma,Garcia,16,School E,Street E 202,56789,16788.278,Engineer,48.3,126.7,41,Brown,Black,3.6,8.7
Lori,Lyons,7,School E,Street E 202,56789,30551.506,Doctor,48.3,189.7,37,Brown,Blonde,7.6,9.2
Theresa,Murphy,17,School M,Street M 202,56779,8163.664,Nurse,59.3,161.3,34,Brown,Brown,3.6,4.6
Nicole,Brown,15,School C,Street C 789,34567,18360.233,Doctor,30.9,177.1,38,Green,Red,7.5,8.4
Cristina,White,13,School K,Street K 789,34667,5977.441,Teacher,26.3,139.1,35,Brown,Brown,3.0,7.6
Mark,Reed,12,School C,Street C 789,34567,47436.914,Doctor,64.6,105.3,41,Brown,Black,9.1,7.3
Cameron,Johnson,2,School C,Street C 789,34567,6729.102,Engineer,25.4,105.4,41,Brown,Red,7.0,2.3
